Loại Kiến Thức,TT,QUESTIONS,A,B,C,D,ANS,rating
,1,What is the colour of runway centre line markings?,White,Red,Yellow,Blue,1,SUP
,2,What is the colour of runway end lights?,Red,White,Green,Blue,1,SUP
,3,What is the colour of taxiway edge lights?,Blue,White,Green,Red,1,SUP
,4,The primary purpose of a wind direction indicator is to show:,Runway longitudinal slope,Aerodrome pressure setting,Surface wind direction at the aerodrome,Prevailing visibility,3,SUP
,5,What is the purpose of an apron?,Aircraft take-off and landing,"Parking, loading/unloading, refuelling and servicing aircraft",Engine run-up before departure,Locating radio navigation aids,2,SUP
,6,What is the colour of a stop bar?,Blue,Red,Green,White,2,SUP
,7,"The part of an aerodrome used for take-off, landing, and taxiing, excluding aprons, is called the:",Movement area,Manoeuvring area,Runway strip,Apron,2,SUP
,8,A defined rectangular area for an aircraft to stop in case of an abandoned take-off is a:,Clearway,Runway strip,Runway end safety area,Stopway,4,SUP
,9,"The ""T"" shape landing direction indicator points towards the:",Direction from which the wind is blowing,Direction to the nearest taxiway,Direction to be used for landing and take-off,Direction of magnetic north,3,SUP
,10,What is the recommended operational objective for RFFS response time to reach any point on an operational runway?,Not more than 3 minutes,Not more than 5 minutes,Not more than 1 minute,Not more than 2 minutes,1,SUP
,11,What does a chevron marking in the pre-threshold area indicate?,"An area not available for normal aircraft take-off, landing or taxiing",A displaced threshold area available for landing,A taxiway shoulder available for aircraft parking,A stopway available for routine taxiing,1,SUP
,12,Who provides apron management service?,Only the national aviation authority,"The aerodrome operator, ATS unit or another designated apron management unit",Only the rescue and firefighting service,Only the pilot-in-command,2,SUP
,13,A fence is required on an aerodrome to prevent entry to the movement area by:,Only emergency vehicles,Only wildlife,Only passengers and visitors,"Unauthorized persons, vehicles and animals",4,SUP
,14,"What is a ""hot spot"" on an aerodrome?",A location on the movement area with a history or potential risk of collision or runway incursion,A designated engine run-up bay,A runway section with the highest pavement strength,A mandatory aircraft parking position,1,SUP
,15,Aiming point markings are provided on a runway to serve as a:,A taxiway alignment reference,The runway magnetic bearing,A visual aiming point for landing aircraft,The end of the touchdown zone,3,SUP
,16,"If a pilot sees two red lights and two white lights on a PAPI, their aircraft is:",Outside the approach sector,Above the correct approach slope,On the correct approach slope,Below the correct approach slope,3,SUP
,17,A NO ENTRY sign consists of:,A white inscription or symbol on a red background,A red inscription on a white background,A black inscription on a yellow background,A yellow inscription on a black background,1,SUP
,18,An aerodrome beacon at a land aerodrome shows flashes of what colours?,Series of red flashes,Alternating red and green flashes,Alternating white and green flashes,Steady green,3,SUP
,19,What is the purpose of an arresting system?,Decelerate an aircraft during an overrun or rejected take-off,Provide visual glide-path guidance,Guide aircraft from apron to taxiway,Improve drainage on the runway,1,SUP
,20,A taxiway connecting to a runway at an acute angle for landing aircraft to exit at higher speeds is called a:,Rapid exit taxiway,Aircraft stand taxilane,Apron taxiway,Parallel taxiway,1,SUP
,21,The responsibility for avoiding collisions on the apron rests with:,Aerodrome control tower,Pilot-in-command,Ground-handling agent,Apron management service,2,SUP
,22,A flashing white light from the control tower to an aircraft on the ground means:,Vacate the runway immediately,Stop,Return to the starting point on the aerodrome,Cleared to taxi,3,SUP
,23,A steady red light from the control tower to an aircraft on the ground means:,Cleared to taxi,Return to the starting point,Vacate the runway,Stop,4,SUP
,24,The standard radiotelephony phrase for a general emergency is:,MAYDAY,SECURITE,PAN PAN,ROGER,1,SUP
,25,The standard radiotelephony phrase for an urgency situation is:,SECURITE,PAN PAN,WILCO,MAYDAY,2,SUP
,26,The transponder code for a communications failure is:,Mode B code 7600,Mode A code 7700,Mode A code 7600,Mode A code 7500,3,SUP
,27,The transponder code for unlawful interference (hijacking) is:,7200,7300,7400,7500,4,SUP
,28,The transponder code for a general emergency is:,7600,7000,7500,7700,4,SUP
,29,"What does the word ""Roger"" mean in radiotelephony?","1,000 ft",“I have received all of your last transmission”,MAYDAY,Pilot-in-command,2,SUP
,30,"A clearance ""cleared for the option"" allows the pilot to perform a:","Safety-critical clearances and instructions such as runway, route, level, heading, speed, SSR code and altimeter setting","Touch-and-go, low approach, missed approach, stop-and-go or full-stop landing",Pilot-in-command,7700,2,SUP
,31,What is the minimum vertical separation for aircraft below FL290?,500 ft,"1,000 ft","2,000 ft","1,500 ft",2,SUP
,32,What information must be read back by a pilot?,Cleared to land,MAYDAY,"Safety-critical clearances and instructions such as runway, route, level, heading, speed, SSR code and altimeter setting",Prescribed separation minima,3,SUP
,33,The term used to indicate that a separation minimum is applied between aircraft is:,"Touch-and-go, low approach, missed approach, stop-and-go or full-stop landing",Make a 360-degree turn to the right,Prescribed separation minima,"1,000 ft",3,SUP
,34,An aircraft taxiing on the manoeuvring area must be in two-way radio contact with:,"1,000 ft",Prescribed separation minima,The appropriate aerodrome control tower,"Touch-and-go, low approach, missed approach, stop-and-go or full-stop landing",3,SUP
,35,A steady green light from the control tower to an aircraft in flight means:,Cleared to land,Return for landing,Give way to other aircraft and continue circling,"Aerodrome unsafe, do not land",1,SUP
,36,"What does the instruction ""Orbit right"" mean?",Climb immediately,Make a 360-degree turn to the left,Make a 360-degree turn to the right,Descend immediately,3,SUP
,37,A Special VFR (SVFR) clearance allows a VFR flight to operate within a control zone when meteorological conditions are:,Flight information region (FIR),"Below normal VMC, subject to ATC clearance and prescribed minima within a CTR",Cleared to land,Prohibited area,2,SUP
,38,The responsibility for avoiding collisions on the apron rests with:,MAYDAY,Pilot-in-command,The appropriate aerodrome control tower,PAN PAN,2,SUP
,39,"What are the three services that comprise ""Air Traffic Services""?","Area control service, approach control service, aerodrome control service","Air traffic control service, search and rescue service","Air traffic control service, aeronautical telecommunication service and aeronautical meteorological service","Air traffic control service, flight information service, alerting service.",4,SUP
,40,What is the primary objective of the air traffic control service?,Any flight or portion of flight that will be provided with air traffic control service,Area control service,"Runways and taxiways, excluding aprons",Prevent collisions and maintain an orderly and expeditious flow of traffic,4,SUP
,41,A controlled airspace extending upwards from a specified limit above the earth is a:,Control area (CTA),VOLMET,Control zone (CTR),Flight information region (FIR),1,SUP
,42,The service provided to notify appropriate organizations regarding aircraft in need of search and rescue aid is called:,Control area (CTA),Alerting service,Air traffic control service,VOLMET,2,SUP
,43,An area of defined dimensions within which flight information service and alerting service are provided is a:,Visual flight rules,Area control centre (ACC),Flight information region (FIR),Control area (CTA),3,SUP
,44,A unit established to provide air traffic control service to controlled flights in control areas under its jurisdiction is an:,Air traffic advisory service,Area control centre (ACC),Air traffic control service,Runway-holding position,2,SUP
,45,A unit established to provide air traffic control service to aerodrome traffic is an:,Approach control service,Aerodrome control tower (TWR),Control area (CTA),Flight information service (FIS),2,SUP
,46,A pilot must submit a flight plan before operating:,Inform ATC immediately and request an amended clearance,The appropriate ATS units,Authorize the aircraft to proceed under specified conditions,Any flight or portion of flight that will be provided with air traffic control service,4,SUP
,47,What is the minimum vertical separation provided between IFR flights below FL290?,"2,000 ft",500 ft,"1,000 ft","1,500 ft",3,SUP
,48,Who is responsible for providing alerting service?,Area control centre,The appropriate ATS authority,The appropriate ATS units,Pilot-in-command,3,SUP
,49,"For the purpose of providing air traffic control, a controlled flight shall be separated from other controlled flights by at least the prescribed:",Prevent collisions and maintain an orderly and expeditious flow of traffic,"1,000 ft",Prescribed separation minima,Inform ATC immediately and request an amended clearance,3,SUP
,50,The service provided for the purpose of giving advice and information useful for the safe and efficient conduct of flights is:,Control area (CTA),Prevent collisions and maintain an orderly and expeditious flow of traffic,Flight information service (FIS),"Flight information centre (FIC), unless assigned to another ATS unit",3,SUP
,51,What is the main purpose of an Air Traffic Control (ATC) clearance?,Authorize the aircraft to proceed under specified conditions,"1,000 ft","Runways and taxiways, excluding aprons",Inform ATC immediately and request an amended clearance,1,SUP
,52,The unit which provides flight information service and alerting service within a Flight Information Region is the:,"Flight information centre (FIC), unless assigned to another ATS unit",Air traffic control service,Area control service,Authorize the aircraft to proceed under specified conditions,1,SUP
,53,"A ""clearance limit"" is the point to which an aircraft is granted an:",The point to which an aircraft is granted an air traffic control clearance.,The fix to which an aircraft is granted an air traffic control clearance.,The level to which an aircraft is granted an air traffic control clearance.,all above.,1,SUP
,54,The service provided to aircraft in the vicinity of an aerodrome before and after flights is known as:,"At an agreed point or time, or sufficiently early for the receiving unit",VOLMET,Aerodrome control service,Unless otherwise authorized or prescribed by the appropriate authority,3,SUP
,55,"The term ""manoeuvring area"" of an aerodrome consists of the:",Safe and efficient conduct of flight,Unless otherwise authorized or prescribed by the appropriate authority,"Runways and taxiways, excluding aprons",Aerodrome control tower (TWR),3,SUP
,56,What is the primary method for providing separation between IFR flights?,Runway-holding position,The appropriate ATS unit at the aerodrome of arrival,"At an agreed point or time, or sufficiently early for the receiving unit","Prescribed vertical, lateral or longitudinal separation",4,SUP
,57,"Who is responsible for establishing and managing Prohibited, Restricted, and Danger areas?",President.,Prime Minister,Minister of National Defense Ministry.,Minister of Transport and Communication Ministry.,2,SUP
,58,"A ""VFR flight"" is a flight conducted in accordance with:",Visual flight rules,The appropriate ATS unit at the aerodrome of arrival,Flight information region (FIR),Alerting service,1,SUP
,59,The primary purpose of the Flight Information Service (FIS) is to provide information for the:,Authorize the aircraft to proceed under specified conditions,Aerodrome control tower (TWR),Safe and efficient conduct of flight,"Prescribed vertical, lateral or longitudinal separation",3,SUP
,60,An air traffic control unit must maintain a continuous watch on its voice communication channels unless:,Prevent collisions and maintain an orderly and expeditious flow of traffic,Prescribed separation minima,The State or appropriate ATS authority,Unless otherwise authorized or prescribed by the appropriate authority,4,SUP
,61,The system which provides meteorological information in the form of routine broadcasts is called:,SIGMET,AIRMET,ATIS,VOLMET,4,SUP
